
 记录时间：2015-11-05 00:04:57,914 -描述：00150
 记录时间：2015-11-05 05:19:59,823 -描述：00150
 记录时间：2015-11-05 05:24:59,848 -描述：00150
 记录时间：2015-11-05 05:29:59,854 -描述：00150
 记录时间：2015-11-05 05:34:59,877 -描述：00150
 记录时间：2015-11-05 05:39:59,927 -描述：00150
 记录时间：2015-11-05 05:44:59,941 -描述：00150
 记录时间：2015-11-05 05:49:59,962 -描述：00150
 记录时间：2015-11-05 05:54:59,981 -描述：00150
 记录时间：2015-11-05 06:00:00,033 -描述：00150
 记录时间：2015-11-05 06:05:00,040 -描述：00150
 记录时间：2015-11-05 06:10:00,095 -描述：00150
 记录时间：2015-11-05 06:15:00,136 -描述：00150
 记录时间：2015-11-05 06:20:00,144 -描述：00150
 记录时间：2015-11-05 06:25:00,168 -描述：00150
 记录时间：2015-11-05 06:30:00,193 -描述：00150
 记录时间：2015-11-05 06:35:00,240 -描述：00150
 记录时间：2015-11-05 06:40:00,246 -描述：00150
 记录时间：2015-11-05 06:45:00,292 -描述：00150
 记录时间：2015-11-05 06:50:00,349 -描述：00150
 记录时间：2015-11-05 06:55:00,371 -描述：00150
 记录时间：2015-11-05 07:00:00,376 -描述：00150
 记录时间：2015-11-05 07:05:00,446 -描述：00150
 记录时间：2015-11-05 07:10:00,477 -描述：00150
 记录时间：2015-11-05 07:15:00,557 -描述：00150
 记录时间：2015-11-05 07:20:00,567 -描述：00150
 记录时间：2015-11-05 07:25:00,572 -描述：00150
 记录时间：2015-11-05 07:30:00,579 -描述：00150
 记录时间：2015-11-05 07:35:00,603 -描述：00150
 记录时间：2015-11-05 07:40:00,624 -描述：00150
 记录时间：2015-11-05 07:45:00,692 -描述：00150
 记录时间：2015-11-05 07:50:00,711 -描述：00150
 记录时间：2015-11-05 07:55:00,723 -描述：00150
 记录时间：2015-11-05 08:00:01,179 -描述：00150
 记录时间：2015-11-05 08:05:01,196 -描述：00150
 记录时间：2015-11-05 08:10:01,933 -描述：00150
 记录时间：2015-11-05 08:15:01,942 -描述：00150
 记录时间：2015-11-05 08:20:02,690 -描述：00150
 记录时间：2015-11-05 08:25:03,470 -描述：00150
 记录时间：2015-11-05 08:30:04,185 -描述：00150
 记录时间：2015-11-05 08:35:04,197 -描述：00150
 记录时间：2015-11-05 08:40:04,953 -描述：00150
 记录时间：2015-11-05 08:45:05,020 -描述：00150
 记录时间：2015-11-05 08:48:20,094 -描述：00068
 记录时间：2015-11-05 08:48:20,291 -描述：00070
 记录时间：2015-11-05 08:48:20,983 -描述：00046
 记录时间：2015-11-05 08:48:21,178 -描述：00052
 记录时间：2015-11-05 08:50:05,026 -描述：00150
 记录时间：2015-11-05 08:55:05,728 -描述：00150
 记录时间：2015-11-05 09:00:06,446 -描述：00150
 记录时间：2015-11-05 09:05:07,204 -描述：00150
 记录时间：2015-11-05 09:10:07,214 -描述：00150
 记录时间：2015-11-05 09:35:13,394 -描述：{"CMD":"SynchronousVideos","videos":[]}]}
 记录时间：2015-11-05 09:40:10,301 -描述：00150
 记录时间：2015-11-05 09:40:49,464 -描述：{"CMD":"SynchronousVideos","videos":[]}]}
 记录时间：2015-11-05 09:40:50,466 -描述：SynchronousVideos
 记录时间：2015-11-05 09:40:51,004 -描述：00001
 记录时间：2015-11-05 09:40:51,741 -描述：00001
 记录时间：2015-11-05 09:40:51,897 -描述：00001
 记录时间：2015-11-05 09:40:52,335 -描述：00001
 记录时间：2015-11-05 09:40:53,147 -描述：00001
 记录时间：2015-11-05 09:40:53,648 -描述：00001
 记录时间：2015-11-05 09:40:54,321 -描述：00001
 记录时间：2015-11-05 09:40:54,694 -描述：00065
 记录时间：2015-11-05 09:40:55,809 -描述：00065
 记录时间：2015-11-05 09:40:57,399 -描述：00065
 记录时间：2015-11-05 09:40:57,478 -描述：00045
 记录时间：2015-11-05 09:40:58,752 -描述：00069
 记录时间：2015-11-05 09:40:59,960 -描述：00068
 记录时间：2015-11-05 09:41:20,405 -描述：00068
 记录时间：2015-11-05 09:42:05,933 -描述：00068
 记录时间：2015-11-05 09:42:06,135 -描述：00070
 记录时间：2015-11-05 09:42:08,479 -描述：00069
 记录时间：2015-11-05 09:42:10,013 -描述：00068
 记录时间：2015-11-05 09:42:17,628 -描述：00068
 记录时间：2015-11-05 09:45:10,956 -描述：00150
 记录时间：2015-11-05 09:45:44,753 -描述：00150
 记录时间：2015-11-05 09:50:11,011 -描述：00150
 记录时间：2015-11-05 09:50:45,457 -描述：00150
 记录时间：2015-11-05 09:51:53,529 -描述：00068
 记录时间：2015-11-05 09:51:53,723 -描述：00070
 记录时间：2015-11-05 09:51:54,594 -描述：00046
 记录时间：2015-11-05 09:51:54,792 -描述：00052
 记录时间：2015-11-05 09:51:55,858 -描述：{"CMD":"SynchronousVideos","videos":[]}]}
 记录时间：2015-11-05 09:51:56,656 -描述：SynchronousVideos
 记录时间：2015-11-05 09:51:56,983 -描述：00001
 记录时间：2015-11-05 09:51:59,345 -描述：00065
 记录时间：2015-11-05 09:52:00,193 -描述：00065
 记录时间：2015-11-05 09:52:00,340 -描述：00045
 记录时间：2015-11-05 09:52:01,725 -描述：00069
 记录时间：2015-11-05 09:52:02,992 -描述：00068
 记录时间：2015-11-05 09:52:10,656 -描述：00068
 记录时间：2015-11-05 09:53:03,757 -描述：{"CMD":"SynchronousVideos","videos":[]}]}
 记录时间：2015-11-05 09:53:03,775 -描述：{"CMD":"SynchronousVideos","videos":[]}]}
 记录时间：2015-11-05 09:53:05,858 -描述：{"CMD":"SynchronousVideos","videos":[]}]}
 记录时间：2015-11-05 09:53:06,268 -描述：00001
 记录时间：2015-11-05 09:53:07,038 -描述：00001
 记录时间：2015-11-05 09:53:07,472 -描述：00065
 记录时间：2015-11-05 09:53:08,323 -描述：00065
 记录时间：2015-11-05 09:53:09,192 -描述：00065
 记录时间：2015-11-05 09:53:09,317 -描述：00045
 记录时间：2015-11-05 09:53:18,363 -描述：00069
 记录时间：2015-11-05 09:53:22,009 -描述：00068
 记录时间：2015-11-05 09:53:23,665 -描述：00068
 记录时间：2015-11-05 09:53:26,082 -描述：00068
 记录时间：2015-11-05 09:53:26,562 -描述：00068
 记录时间：2015-11-05 09:53:26,761 -描述：00070
 记录时间：2015-11-05 09:53:27,395 -描述：00046
 记录时间：2015-11-05 09:53:27,593 -描述：00052
 记录时间：2015-11-05 09:55:11,732 -描述：00150
 记录时间：2015-11-05 09:55:45,495 -描述：00150
 记录时间：2015-11-05 09:59:08,275 -描述：00046
 记录时间：2015-11-05 09:59:08,476 -描述：00052
 记录时间：2015-11-05 10:08:12,981 -描述：{"CMD":"SynchronousVideos","videos":[]}]}
 记录时间：2015-11-05 10:08:13,017 -描述：{"CMD":"SynchronousVideos","videos":[]}]}
 记录时间：2015-11-05 10:08:14,173 -描述：00001
 记录时间：2015-11-05 10:08:14,628 -描述：00065
 记录时间：2015-11-05 10:08:14,970 -描述：{"CMD":"SynchronousVideos","videos":[]}]}
 记录时间：2015-11-05 10:08:15,383 -描述：00065
 记录时间：2015-11-05 10:08:16,388 -描述：00065
 记录时间：2015-11-05 10:08:16,521 -描述：00045
 记录时间：2015-11-05 10:08:18,322 -描述：00069
 记录时间：2015-11-05 10:08:19,801 -描述：00068
 记录时间：2015-11-05 10:08:29,077 -描述：00068
 记录时间：2015-11-05 10:08:29,275 -描述：00070
 记录时间：2015-11-05 11:03:22,362 -描述：{"CMD":"SynchronousVideos","videos":[]}]}
 记录时间：2015-11-05 11:03:23,396 -描述：{"CMD":"SynchronousVideos","videos":[]}]}
 记录时间：2015-11-05 11:03:23,552 -描述：00001
 记录时间：2015-11-05 11:03:23,806 -描述：00065
 记录时间：2015-11-05 11:03:24,430 -描述：{"CMD":"SynchronousVideos","videos":[]}]}
 记录时间：2015-11-05 11:03:24,545 -描述：00065
 记录时间：2015-11-05 11:03:25,476 -描述：00065
 记录时间：2015-11-05 11:03:25,568 -描述：00045
 记录时间：2015-11-05 11:03:26,655 -描述：00069
